timestamp,intent,example
2025-07-18T09:56:19.059945,Health & Wellness,Nutrition
2025-07-18T09:56:19.069163,Health & Wellness,Diets
2025-07-18T09:56:19.076700,Health & Wellness,Veganism
2025-07-18T09:56:19.083819,Health & Wellness,Vegetarianism
2025-07-18T09:56:19.090939,Health & Wellness,Keto Diet
2025-07-18T09:56:19.098865,Health & Wellness,Paleo Diet
2025-07-18T09:56:19.106768,Health & Wellness,Supplements
2025-07-18T09:56:19.115087,Health & Wellness,Vitamins
2025-07-18T09:56:19.122263,Health & Wellness,Minerals
2025-07-18T09:56:19.130091,Health & Wellness,Superfoods
2025-07-18T09:56:19.137082,Health & Wellness,Exercise
2025-07-18T09:56:19.146004,Health & Wellness,Cardio
2025-07-18T09:56:19.153338,Health & Wellness,Strength Training
2025-07-18T09:56:19.162722,Health & Wellness,Yoga
2025-07-18T09:56:19.170035,Health & Wellness,Pilates
2025-07-18T09:56:19.177441,Health & Wellness,HIIT
2025-07-18T09:56:19.184607,Health & Wellness,Running
2025-07-18T09:56:19.191916,Health & Wellness,Cycling
2025-07-18T09:56:19.199455,Health & Wellness,Swimming
2025-07-18T09:56:19.206524,Health & Wellness,Walking
2025-07-18T09:56:19.214751,Health & Wellness,Mental Health
2025-07-18T09:56:19.223030,Health & Wellness,Mindfulness
2025-07-18T09:56:19.231449,Health & Wellness,Meditation
2025-07-18T09:56:19.239227,Health & Wellness,Stress Management
2025-07-18T09:56:19.247919,Health & Wellness,Anxiety
2025-07-18T09:56:19.255949,Health & Wellness,Depression
2025-07-18T09:56:19.264585,Health & Wellness,Therapy
2025-07-18T09:56:19.272818,Health & Wellness,Counseling
2025-07-18T09:56:19.281577,Health & Wellness,CBT
2025-07-18T09:56:19.289708,Health & Wellness,Self-Care
2025-07-18T09:56:19.298491,Health & Wellness,Sleep
2025-07-18T09:56:19.306465,Health & Wellness,Sleep Hygiene
2025-07-18T09:56:19.315041,Health & Wellness,Insomnia
2025-07-18T09:56:19.323090,Health & Wellness,Sleep Disorders
2025-07-18T09:56:19.331916,Health & Wellness,Napping
2025-07-18T09:56:19.340045,Health & Wellness,Dreams
2025-07-18T09:56:19.348599,Health & Wellness,Sleep Cycles
2025-07-18T09:56:19.358407,Health & Wellness,Circadian Rhythm
2025-07-18T09:56:19.367379,Health & Wellness,Sleep Apnea
2025-07-18T09:56:19.376246,Health & Wellness,Rest
2025-07-18T09:56:19.384446,Health & Wellness,Chronic Illness
2025-07-18T09:56:19.393247,Health & Wellness,Diabetes
2025-07-18T09:56:19.401647,Health & Wellness,Hypertension
2025-07-18T09:56:19.411730,Health & Wellness,Heart Disease
2025-07-18T09:56:19.419689,Health & Wellness,Asthma
2025-07-18T09:56:19.428059,Health & Wellness,Arthritis
2025-07-18T09:56:19.435783,Health & Wellness,Autoimmune Diseases
2025-07-18T09:56:19.444238,Health & Wellness,Cancer
2025-07-18T09:56:19.452966,Health & Wellness,Obesity
2025-07-18T09:56:19.461374,Health & Wellness,Allergies
2025-07-18T09:56:19.470143,Health & Wellness,Preventive Care
2025-07-18T09:56:19.479412,Health & Wellness,Vaccinations
2025-07-18T09:56:19.487556,Health & Wellness,Screenings
2025-07-18T09:56:19.495841,Health & Wellness,Checkups
2025-07-18T09:56:19.506180,Health & Wellness,Health Insurance
2025-07-18T09:56:19.514679,Health & Wellness,Primary Care
2025-07-18T09:56:19.524092,Health & Wellness,Telemedicine
2025-07-18T09:56:19.532237,Health & Wellness,Health Apps
2025-07-18T09:56:19.540107,Health & Wellness,Wearables
2025-07-18T09:56:19.548299,Health & Wellness,Fitness Trackers
2025-07-18T09:56:19.556376,Finance,Personal Finance
